SOURCE_VALUE,SOURCE_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_NAME,MAPPED_STANDARD_VOCABULARY_ID,MAPPED_STANDARD_CONCEPT_CODE,MAPPED_STANDARD_CONCEPT_FLAG,TOTAL_ROWS
Outpatient,44806889,581477,Office Visit,Visit,OMOP4822458,S,22085948
Outpatient,44806889,9202,Outpatient Visit,Visit,OP,S,3948875
Outpatient,44806889,32036,Laboratory Visit,Visit,OMOP4822461,S,3314762
Emergency,42690664,9203,Emergency Room Visit,Visit,ER,S,1758593
Inpatient,4214577,9201,Inpatient Visit,Visit,IP,S,725123
History,44806889,9202,Outpatient Visit,Visit,OP,S,483997
Inpatient,4214577,262,Emergency Room and Inpatient Visit,Visit,ERIP,S,435910
Recurring,44806889,581479,Ambulatory Rehabilitation Visit,Visit,OMOP4822456,S,305533
Recurring,44806889,9202,Outpatient Visit,Visit,OP,S,280043
Outpatient,44806889,581458,Pharmacy visit,Visit,OMOP4822462,S,77991
Preadmit,44806889,9201,Inpatient Visit,Visit,IP,S,66132
,44806889,9202,Outpatient Visit,Visit,OP,S,29173
Observation,44806889,581385,Observation Room,CMS Place of Service,OMOP4822036,S,11196
,44806889,32036,Laboratory Visit,Visit,OMOP4822461,S,4703
Outpatient,44806889,9203,Emergency Room Visit,Visit,ER,S,2367
,44806889,581477,Office Visit,Visit,OMOP4822458,S,118
Recurring,44806889,32036,Laboratory Visit,Visit,OMOP4822461,S,62
Preadmit,44806889,9202,Outpatient Visit,Visit,OP,S,9
Recurring,44806889,9203,Emergency Room Visit,Visit,ER,S,5
,44806889,9203,Emergency Room Visit,Visit,ER,S,1
