ANCESTOR_CONCEPT_ID,ANCESTOR_CONCEPT_NAME,ANCESTOR_DOMAIN_ID,ANCESTOR_VOCABULARY_ID,ANCESTOR_CONCEPT_CLASS_ID,ANCESTOR_STANDARD_CONCEPT,ANCESTOR_CONCEPT_CODE,DESCENDANT_CONCEPTS_PRESENT,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
9202,Outpatient Visit,Visit,Visit,Visit,S,OP,4,27144892,1768219,2000-04-14,2026-06-17
581477,Office Visit,Visit,Visit,Visit,S,OMOP4822458,1,22086066,1470525,2000-04-14,2026-04-09
32036,Laboratory Visit,Visit,Visit,Visit,S,OMOP4822461,1,3319527,521717,2006-06-07,2026-03-06
9203,Emergency Room Visit,Visit,Visit,Visit,S,ER,1,1760966,564772,2000-05-25,2026-03-04
9201,Inpatient Visit,Visit,Visit,Visit,S,IP,1,791255,480112,1946-05-27,2026-03-08
262,Emergency Room and Inpatient Visit,Visit,Visit,Visit,S,ERIP,1,435910,232829,2003-07-14,2026-03-04
581479,Ambulatory Rehabilitation Visit,Visit,Visit,Visit,S,OMOP4822456,1,305533,100828,2000-09-18,2026-02-25
581458,Pharmacy visit,Visit,Visit,Visit,S,OMOP4822462,1,77991,22776,2014-12-04,2026-04-10
8756,Outpatient Hospital,Visit,CMS Place of Service,Visit,S,22,1,11196,10358,2005-09-27,2026-03-02
581385,Observation Room,Visit,CMS Place of Service,Visit,S,OMOP4822036,1,11196,10358,2005-09-27,2026-03-02
